# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
1-CysPxn	PF3D7_0802200	PF3D7_0802200.1	protein_coding	0	0	0	120	72	0	0	0	0	0	0	0	0	0	0	0	0	0	48
14-3-3I	PF3D7_0818200	PF3D7_0818200.1	protein_coding	0	29	3	97	44	0	7	3	0	0	0	0	1	0	0	0	0	29	46
14-3-3II	PF3D7_1362100	PF3D7_1362100.1	protein_coding	0	2	3	182	68	0	8	3	0	0	0	0	1	0	0	0	0	1	107
AARP	PF3D7_0423400	PF3D7_0423400.1	protein_coding	0	1	9	168	97	0	0	9	0	0	0	0	0	0	0	0	0	1	71
AARP1	PF3D7_1233600	PF3D7_1233600.1	protein_coding	2	69	132	113	48	0	3	132	0	0	0	0	0	0	2	0	0	69	62
AARP2	PF3D7_0106700	PF3D7_0106700.1	protein_coding	0	43	26	107	57	0	0	26	0	0	0	0	0	0	0	0	0	43	50
ABCB3	PF3D7_1145500	PF3D7_1145500.1	protein_coding	0	6	15	171	65	0	5	15	0	0	0	0	0	0	0	0	0	6	101
ABCB4	PF3D7_0302600	PF3D7_0302600.1	protein_coding	0	39	32	364	52	0	0	32	0	0	0	0	0	0	0	0	0	39	312
ABCB5	PF3D7_1339900	PF3D7_1339900.1	protein_coding	0	7	10	157	60	0	0	10	0	0	0	0	0	0	0	0	0	7	97
ABCB6	PF3D7_1352100	PF3D7_1352100.1	protein_coding	0	28	27	140	54	0	0	27	0	0	0	0	0	0	0	0	0	28	86
ABCB7	PF3D7_1209900	PF3D7_1209900.1	protein_coding	0	9	9	99	48	0	0	9	0	0	0	0	0	0	0	0	0	9	51
ABCE1	PF3D7_1368200	PF3D7_1368200.1	protein_coding	0	68	11	150	70	0	2	11	0	0	0	0	2	0	0	0	0	67	79
ABCF1	PF3D7_0813700	PF3D7_0813700.1	protein_coding	0	24	27	168	70	0	0	27	0	0	0	0	0	0	0	0	0	24	98
ABCG2	PF3D7_1426500	PF3D7_1426500.1	protein_coding	0	47	24	134	85	0	0	24	0	0	0	0	0	0	0	0	0	47	49
ABCI3	PF3D7_0319700	PF3D7_0319700.1	protein_coding	0	12	42	137	44	0	13	42	0	0	0	0	0	0	0	0	0	12	80
ABCK1	PF3D7_0810200	PF3D7_0810200.1	protein_coding	0	10	10	111	77	0	0	10	0	0	0	0	0	0	0	0	0	10	34
ABCk2	PF3D7_1414500	PF3D7_1414500.1	protein_coding	0	22	78	145	71	0	8	78	0	0	0	0	0	0	0	0	0	22	66
ACBP	PF3D7_1477800	PF3D7_1477800.1	protein_coding	0	0	2	137	63	0	0	2	0	0	0	0	0	0	0	0	0	0	74
ACBP1	PF3D7_1001100	PF3D7_1001100.1	protein_coding	4	25	88	160	91	0	20	88	0	0	0	0	1	0	4	0	0	25	49
ACBP1	PF3D7_1001100	PF3D7_1001100.2	protein_coding	4	18	90	164	91	0	10	90	0	0	0	0	3	0	4	0	0	17	64
